run_utc,location,lat,lon,shift,shift_start_local,shift_end_local,rain_ukmo_mm,rain_ecmwf_mm,rain_gfs_mm,rain_blend_mm,rain_spread_mm,rain_confidence,gust_ukmo_mph,gust_ecmwf_mph,gust_gfs_mph,gust_blend_mph,gust_spread_mph,gust_confidence,temp_min_ukmo_c,temp_min_ecmwf_c,temp_min_gfs_c,temp_min_blend_c,temp_min_spread_c,temp_min_confidence,temp_max_ukmo_c,temp_max_ecmwf_c,temp_max_gfs_c,temp_max_blend_c,temp_max_spread_c,temp_max_confidence
2026-04-17T15:37:06Z,Holbury,53.8297,-1.3818,night,2026-04-17T17:00+01:00,2026-04-18T05:00+01:00,0.0,0.0,0.1,0.02,0.1,High,23.3,22.8,26.4,23.8,3.6,Medium,,,,,,,,,,,,
2026-04-17T16:57:39Z,Holbury,53.8297,-1.3818,night,2026-04-17T17:00+01:00,2026-04-18T05:00+01:00,0.3,0.0,0.1,0.14,0.3,Medium,19.9,22.8,26.4,22.1,6.5,Medium,,,,,,,,,,,,
2026-04-18T03:37:05Z,Holbury,50.8244,-1.3706,day,2026-04-18T05:00+01:00,2026-04-18T17:00+01:00,0.0,0.0,0.0,0.0,0.0,High,21.9,19.5,15.0,19.8,6.9,Medium,,,,,,,,,,,,
2026-04-18T15:07:26Z,Holbury,50.8244,-1.3706,night,2026-04-18T17:00+01:00,2026-04-19T05:00+01:00,0.0,0.0,0.0,0.0,0.0,High,19.0,17.7,17.9,18.4,1.3,High,,,,,,,,,,,,
2026-04-18T16:03:33Z,Holbury,50.8244,-1.3706,night,2026-04-18T17:00+01:00,2026-04-19T05:00+01:00,0.1,0.0,0.0,0.04,0.1,High,18.3,17.7,17.9,18.0,0.6,High,,,,,,,,,,,,
2026-04-19T03:22:03Z,Holbury,50.8244,-1.3706,day,2026-04-19T05:00+01:00,2026-04-19T17:00+01:00,0.0,0.0,0.0,0.0,0.0,High,15.0,15.9,19.2,16.1,4.2,Medium,,,,,,,,,,,,
2026-04-19T15:07:35Z,Holbury,50.8244,-1.3706,night,2026-04-19T17:00+01:00,2026-04-20T05:00+01:00,0.0,0.0,0.0,0.0,0.0,High,16.6,16.1,19.0,16.9,2.9,High,,,,,,,,,,,,
2026-04-19T16:03:12Z,Holbury,50.8244,-1.3706,night,2026-04-19T17:00+01:00,2026-04-20T05:00+01:00,0.0,0.0,0.0,0.0,0.0,High,17.0,16.1,19.0,17.1,2.9,High,,,,,,,,,,,,
2026-04-20T03:58:46Z,Holbury,50.8244,-1.3706,day,2026-04-20T05:00+01:00,2026-04-20T17:00+01:00,0.0,0.0,0.0,0.0,0.0,High,20.6,21.9,15.0,19.9,6.9,Medium,,,,,,,,,,,,
2026-04-20T15:53:43Z,Holbury,50.8244,-1.3706,night,2026-04-20T17:00+01:00,2026-04-21T05:00+01:00,0.2,0.0,0.0,0.08,0.2,High,19.2,20.6,22.4,20.3,3.2,Medium,,,,,,,,,,,,
2026-04-21T03:52:16Z,Holbury,50.8244,-1.3706,day,2026-04-21T05:00+01:00,2026-04-21T17:00+01:00,0.0,0.6,0.4,0.32,0.6,Medium,27.7,33.6,28.2,29.6,5.9,Medium,,,,,,,,,,,,
2026-04-21T15:17:56Z,Holbury,50.8244,-1.3706,night,2026-04-21T17:00+01:00,2026-04-22T05:00+01:00,0.0,0.0,0.0,0.0,0.0,High,29.3,32.2,37.1,31.7,7.8,Low,,,,,,,,,,,,
2026-04-21T16:36:53Z,Holbury,50.8244,-1.3706,night,2026-04-21T17:00+01:00,2026-04-22T05:00+01:00,0.0,0.0,0.0,0.0,0.0,High,31.1,32.2,37.1,32.6,6.0,Medium,,,,,,,,,,,,
2026-04-22T16:11:07Z,Holbury,50.8244,-1.3706,night,2026-04-22T17:00+01:00,2026-04-23T05:00+01:00,0.0,0.0,0.0,0.0,0.0,High,29.8,30.9,34.9,31.1,5.1,Medium,8.6,9.8,8.7,9.1,1.2,Medium,15.7,13.9,14.2,14.7,1.8,Medium
2026-04-23T03:17:59Z,Holbury,50.8244,-1.3706,day,2026-04-23T05:00+01:00,2026-04-23T17:00+01:00,0.0,0.0,0.0,0.0,0.0,High,28.2,27.7,28.2,28.0,0.5,High,7.8,9.6,8.2,8.6,1.8,Medium,17.7,15.6,15.8,16.5,2.1,Medium
2026-04-23T15:58:07Z,Holbury,50.8244,-1.3706,night,2026-04-23T17:00+01:00,2026-04-24T05:00+01:00,0.0,0.0,0.0,0.0,0.0,High,25.1,25.3,29.3,26.0,4.2,Medium,6.9,7.7,6.6,7.2,1.1,Medium,17.0,15.5,15.2,16.0,1.8,Medium
2026-04-24T03:20:12Z,Holbury,50.8244,-1.3706,day,2026-04-24T05:00+01:00,2026-04-24T17:00+01:00,0.0,0.0,0.0,0.0,0.0,High,21.5,24.6,22.8,22.7,3.1,Medium,6.3,7.4,6.6,6.8,1.1,Medium,16.3,14.4,15.5,15.4,1.9,Medium
2026-04-24T15:11:47Z,Holbury,50.8244,-1.3706,night,2026-04-24T17:00+01:00,2026-04-25T05:00+01:00,0.0,0.0,0.0,0.0,0.0,High,19.9,20.1,18.1,19.6,2.0,High,6.7,7.6,6.1,6.9,1.5,Medium,15.9,13.9,13.6,14.6,2.3,Medium
2026-04-24T16:33:14Z,Holbury,50.8244,-1.3706,night,2026-04-24T17:00+01:00,2026-04-25T05:00+01:00,0.0,0.0,0.0,0.0,0.0,High,18.8,20.1,18.1,19.1,2.0,High,6.7,7.6,6.1,6.9,1.5,Medium,15.9,13.9,13.6,14.6,2.3,Medium
2026-04-25T15:43:46Z,Holbury,50.8244,-1.3706,night,2026-04-25T17:00+01:00,2026-04-26T05:00+01:00,0.0,0.0,0.0,0.0,0.0,High,11.4,12.3,6.3,10.7,6.0,Medium,8.7,9.3,8.6,8.9,0.7,High,18.2,14.2,15.9,16.1,4.0,Low
2026-04-25T16:51:06Z,Holbury,50.8244,-1.3706,night,2026-04-25T17:00+01:00,2026-04-26T05:00+01:00,0.0,0.0,0.0,0.0,0.0,High,12.1,12.3,6.3,11.0,6.0,Medium,8.4,9.3,8.6,8.8,0.9,High,18.0,14.2,15.9,16.1,3.8,Low
2026-04-26T03:27:23Z,Holbury,50.8244,-1.3706,day,2026-04-26T05:00+01:00,2026-04-26T17:00+01:00,0.0,0.0,0.0,0.0,0.0,High,23.3,20.8,16.3,21.2,7.0,Low,6.4,9.0,9.3,8.0,2.9,Medium,16.3,13.9,15.1,15.1,2.4,Medium
2026-04-26T15:47:43Z,Holbury,50.8244,-1.3706,night,2026-04-26T17:00+01:00,2026-04-27T05:00+01:00,0.0,0.0,0.0,0.0,0.0,High,14.5,13.9,11.0,13.6,3.5,Medium,9.0,10.0,8.6,9.3,1.4,Medium,16.2,13.2,14.0,14.6,3.0,Low
2026-04-26T16:51:24Z,Holbury,50.8244,-1.3706,night,2026-04-26T17:00+01:00,2026-04-27T05:00+01:00,0.0,0.0,0.0,0.0,0.0,High,12.5,13.9,11.0,12.6,2.9,High,8.8,10.0,8.6,9.2,1.4,Medium,16.3,13.2,14.0,14.6,3.1,Low
